,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBMAS,POBFEM,REL_H_M,P_18YMAS,P_60YMAS,P_0A2,P_3A5,P_6A11,P_12A14,P_15A17,P_18A24,PEA,PE_INAC,POCUPADA,PDESOCUP,PSINDER,PDER_SS,TVIVHAB,VIVPAR_HAB,PROM_OCUP,GRAPROES,CVE_ENT,Entidad federativa,CVE_MUN,Nombre del municipio,CVE_LOC,Nombre de la localidad,Folio de la AGEB,Población total ,Viviendas particulares habitadas,Población de 15 años y más con educación básica incompleta,Población de 15 a 24 años que no asiste a la escuela,Población sin derechohabiencia a servicios de salud,Personas que viven en hacinamiento,Viviendas que no disponen de excusado o sanitario,Viviendas que no disponen de lavadora,Viviendas que no disponen de refrigerador,Viviendas que no disponen de teléfono fijo,Población de 15 años o más analfabeta,Población de 6 a 14 años que no asiste a la escuela,Viviendas con piso de tierra,Viviendas que no disponen de agua entubada de la red pública,Viviendas que no disponen de drenaje,Viviendas que no disponen de energía eléctrica,Grado de rezago social (clases latentes) 
2178,9,Distrito Federal,10,Álvaro Obregón,1,Total AGEB urbana,2269,0,1758,867,891,97,1212,77,84,92,196,84,90,236,885,500,870,15,475,1282,513,513,3,12,9,Distrito Federal,5.0,Gustavo A. Madero,1.0,GUSTAVO A. MADERO,0900500012269,2940.0,734.0,22.6,42.9,33.4,2.3,0.5,16.1,3.8,16.9,1.4,1.5,0.4,0.0,0.0,0.0,Bajo
2179,9,Distrito Federal,10,Álvaro Obregón,1,Total AGEB urbana,2269,0,1758,867,891,97,1212,77,84,92,196,84,90,236,885,500,870,15,475,1282,513,513,3,12,9,Distrito Federal,10.0,Álvaro Obregón,1.0,ÁLVARO OBREGÓN,0901000012269,1758.0,513.0,22.7,46.9,27.0,7.4,0.4,17.7,7.8,25.9,1.9,0.7,1.0,22.0,0.0,0.0,Bajo
2180,9,Distrito Federal,10,Álvaro Obregón,1,Total AGEB urbana,2269,0,1758,867,891,97,1212,77,84,92,196,84,90,236,885,500,870,15,475,1282,513,513,3,12,15,México,33.0,Ecatepec de Morelos,1.0,ECATEPEC DE MORELOS,1503300012269,3951.0,934.0,39.1,66.9,45.4,12.6,0.1,29.9,20.2,44.1,3.6,2.9,3.7,0.0,0.0,0.0,Bajo
2181,15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,2269,0,3951,1949,2002,97,2535,253,234,257,472,226,214,541,1673,1297,1630,43,1794,2140,938,934,4,8,9,Distrito Federal,5.0,Gustavo A. Madero,1.0,GUSTAVO A. MADERO,0900500012269,2940.0,734.0,22.6,42.9,33.4,2.3,0.5,16.1,3.8,16.9,1.4,1.5,0.4,0.0,0.0,0.0,Bajo
2182,15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,2269,0,3951,1949,2002,97,2535,253,234,257,472,226,214,541,1673,1297,1630,43,1794,2140,938,934,4,8,9,Distrito Federal,10.0,Álvaro Obregón,1.0,ÁLVARO OBREGÓN,0901000012269,1758.0,513.0,22.7,46.9,27.0,7.4,0.4,17.7,7.8,25.9,1.9,0.7,1.0,22.0,0.0,0.0,Bajo
2183,15,México,33,Ecatepec de Morelos,1,Total AGEB urbana,2269,0,3951,1949,2002,97,2535,253,234,257,472,226,214,541,1673,1297,1630,43,1794,2140,938,934,4,8,15,México,33.0,Ecatepec de Morelos,1.0,ECATEPEC DE MORELOS,1503300012269,3951.0,934.0,39.1,66.9,45.4,12.6,0.1,29.9,20.2,44.1,3.6,2.9,3.7,0.0,0.0,0.0,Bajo
2184,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,2273,0,5414,2540,2874,88,4117,802,191,213,421,186,267,684,2582,1948,2471,111,1595,3786,1501,1495,4,10,9,Distrito Federal,5.0,Gustavo A. Madero,1.0,GUSTAVO A. MADERO,0900500012273,5414.0,1495.0,23.2,48.6,29.5,3.4,0.8,21.5,9.0,28.4,1.2,4.3,1.0,0.1,0.1,0.0,Bajo
2185,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,2273,0,5414,2540,2874,88,4117,802,191,213,421,186,267,684,2582,1948,2471,111,1595,3786,1501,1495,4,10,9,Distrito Federal,10.0,Álvaro Obregón,1.0,ÁLVARO OBREGÓN,0901000012273,52.0,9.0,28.9,62.5,59.6,33.3,0.0,0.0,0.0,11.1,5.3,9.1,11.1,11.1,22.2,0.0,Medio
2186,9,Distrito Federal,5,Gustavo A. Madero,1,Total AGEB urbana,2273,0,5414,2540,2874,88,4117,802,191,213,421,186,267,684,2582,1948,2471,111,1595,3786,1501,1495,4,10,15,México,33.0,Ecatepec de Morelos,1.0,ECATEPEC DE MORELOS,1503300012273,3784.0,895.0,28.7,51.3,43.7,7.1,0.0,24.1,11.5,34.9,2.5,3.9,1.1,8.5,0.2,0.2,Bajo
2187,9,Distrito Federal,10,Álvaro Obregón,1,Total AGEB urbana,2273,0,52,23,29,79,33,7,3,0,6,5,5,3,25,18,25,0,31,20,9,9,6,10,9,Distrito Federal,5.0,Gustavo A. Madero,1.0,GUSTAVO A. MADERO,0900500012273,5414.0,1495.0,23.2,48.6,29.5,3.4,0.8,21.5,9.0,28.4,1.2,4.3,1.0,0.1,0.1,0.0,Bajo
